
Starting training with optimizer: Nesterov
Nesterov | Epoch 1/10 - Loss: 0.5441 - Train Accuracy: 0.8509
Nesterov | Epoch 2/10 - Loss: 0.4000 - Train Accuracy: 0.8483
Nesterov | Epoch 3/10 - Loss: 0.3612 - Train Accuracy: 0.8745
Nesterov | Epoch 4/10 - Loss: 0.3357 - Train Accuracy: 0.8884
Nesterov | Epoch 5/10 - Loss: 0.3171 - Train Accuracy: 0.8786
Nesterov | Epoch 6/10 - Loss: 0.3039 - Train Accuracy: 0.8930
Nesterov | Epoch 7/10 - Loss: 0.2923 - Train Accuracy: 0.8904
Nesterov | Epoch 8/10 - Loss: 0.2797 - Train Accuracy: 0.9041
Nesterov | Epoch 9/10 - Loss: 0.2716 - Train Accuracy: 0.8999
Nesterov | Epoch 10/10 - Loss: 0.2641 - Train Accuracy: 0.9085
Nesterov | Test Accuracy: 0.8816
