
Starting training with optimizer: Adam
Adam | Epoch 1/10 - Loss: 0.5090 - Train Accuracy: 0.8643
Adam | Epoch 2/10 - Loss: 0.3755 - Train Accuracy: 0.8831
Adam | Epoch 3/10 - Loss: 0.3359 - Train Accuracy: 0.8857
Adam | Epoch 4/10 - Loss: 0.3109 - Train Accuracy: 0.8962
Adam | Epoch 5/10 - Loss: 0.2950 - Train Accuracy: 0.8955
Adam | Epoch 6/10 - Loss: 0.2801 - Train Accuracy: 0.9027
Adam | Epoch 7/10 - Loss: 0.2698 - Train Accuracy: 0.9086
Adam | Epoch 8/10 - Loss: 0.2586 - Train Accuracy: 0.9078
Adam | Epoch 9/10 - Loss: 0.2500 - Train Accuracy: 0.9112
Adam | Epoch 10/10 - Loss: 0.2392 - Train Accuracy: 0.9123
Adam | Test Accuracy: 0.8780
