
Starting training with optimizer: Nadam
Nadam | Epoch 1/10 - Loss: 0.4858 - Train Accuracy: 0.8656
Nadam | Epoch 2/10 - Loss: 0.3653 - Train Accuracy: 0.8842
Nadam | Epoch 3/10 - Loss: 0.3272 - Train Accuracy: 0.8919
Nadam | Epoch 4/10 - Loss: 0.3048 - Train Accuracy: 0.8888
Nadam | Epoch 5/10 - Loss: 0.2878 - Train Accuracy: 0.8970
Nadam | Epoch 6/10 - Loss: 0.2730 - Train Accuracy: 0.9018
Nadam | Epoch 7/10 - Loss: 0.2626 - Train Accuracy: 0.9059
Nadam | Epoch 8/10 - Loss: 0.2517 - Train Accuracy: 0.9041
Nadam | Epoch 9/10 - Loss: 0.2425 - Train Accuracy: 0.9138
Nadam | Epoch 10/10 - Loss: 0.2337 - Train Accuracy: 0.9111
Nadam | Test Accuracy: 0.8770
